sentence,label
think energy gives way talks like conversation friends bond learning,1
good teaching ever strict comes deadline activities,1
maam strength knowledgeable kind person,1
siguro maganda pag tuturo e yung mas napapaliwanag nya maayosat di sya titigil di nagegets,1
shes good teaching,1
flexibility creativity opennes,1
give task student move together bond explaining topic simple way students easy understanding,1
giving videos watch make us understand easier,1
knowledgeable course,1
kind serious time class,1
lessons well explained,1
welldiscussed informative course,1
instructor gives lot learning materials,1
ms aware every lesson meeting smooth explained clearly,1
confident teach excite students listen,1
creative,1
shes also knowledgeable enough terms teaching course explained topic well subject still drowsy,1
professional excellent job explaining lesson us without doubt effective teacher lessons always happy endings truly understand teaches us,1
good communication creativity,1
smiles presents happy positive attitude us delivers content within timeframe allotted manage time efficiently,1
present clearly,1
enthusiasm flexibility good communication,1
think knowledgeable enough course cases didnt understand lesson way explained discuss,1
participants,1
understanding,1
repeating certain topic student gets confused,1
good effort show us solution math,1
hes good teaching,1
good teacher,1
explanation clear,1
magaling sya mag turo talaga makikita yung effort nya,1
prof passionate hes delivers content within timeframe allotted manage time efficiently faced technical issue,1
recommend easiest way student solve problem,1
sir strength knowledgeable good person,1
maeffort lagi siyang prepare online class,1
somehow could easily understand teaching used lessons file also used whiteboard better explain topic us,1
knowledgeable course,1
instructor always present,1
ability communicate clearly,1
good teaching math even really hard tough adapt lesson always made way us understand lesson easily effort every class priceless even used black board pentelpen anything write us understand lesson,1
instructor encourages students participate class,1
professional excellent job explaining lesson us without doubt effective teacher truly understand teaches us,1
explain topic well giving many examples,1
really dont know put im sorry,1
di po nameet,0
strength motivate students teach,1
dont know since havent met instructor,0
shes good teaching,1
im sure havent interaction professor synchronous class,1
honestly dont know havent met online class yet,0
havent seen even google meet really dont interaction ever since changed ite instructor mistaken schedule conflict first week died posted powerpoint lms us cope lesson think dont anything say,1
inform us shes around,1
magaling magturo,1
good communication,1
giving us quiz inside topic,1
dont know di kilala ehh,0
gives us lessons need learn effectively,1
since havent met ms seen teaches based presented topic powerpoint presentation lms say topic information detailed organized complete,0
weve never met ms ever since midterm provide lesson materials lms quizes without discussion certain topic,0
uses variety presentation styles method,1
learning materials,1
instructor excellent explaining lesson,1
really knowledgeable enough course smart guess thats also high standards expectations comes learners us got lower grade know dont deserve gave still best thats important learner,1
instructor always gives learning materials early students review,1
good communication skills,1
confident explain clearly,1
knowledgeable course,1
good explaining,1
good communication,1
interactive skills,1
participants,1
hes good teaching,1
pormal,1
ayos naman po magturo magaling,1
giving examples us understand better,1
knowledgeable,1
good explaining lesson,1
sir strength understandable knowledgeable person,1
good teaching,1
really suit subject,1
good explaining lesson,1
delivers content within timeframe allotted manage time efficiently,1
strength teach us comprehensive topic,1
considerations students,1
confident teach learn,1
great filipino teacher say way teachings effective us also polite teaches great see kind students admire,1
hes good reaching student learning,1
enthusiasm flexibility good communication patience creativity,1
strength sir class knowledgeable person well discuss lesson clear easy get,1
kindness consideration,1
attending online class time pay attention,1
explained every topics clearly understandable,1
si ser mabait talaga teacher magaling sya mag paliwanag,1
knowledgeable enough clear,1
clear understanding lessons,1
demonstrate sincere desire teach integrity honesty dealings students,1
instructor always tries understand students gives clear instructions always early class,1
prepared organized teaching,1
think way prof enjoy teaching communicating students properly,1
strong ability motivate inspire good initiative problem solving skills,1
teaching details inside learning materials,1
professional excellent job explaining lesson us without doubt effective teacher lessons always happy endings truly understand teaches us,1
time lagi magturo meron siyang consideration pag pagkukulang activities nagagawa,0
knowledgeable course interacts well students,1
explained lesson direct point considerate kind instructor,1
exams quizzes easy since discussed properly instructor,1
quickly understood lessons taught us explanations difficult understand also always examples given,1
topic always explained well never forget ask hard time,1
knowledgeable course considerate understanding kind,1
futuristic funny person,1
record lecture also show insights topic,1
inspired students like young entrepreneur also gave us advice need successful entrepreneur businessman,1
knowledge experience business related course,1
experience entrepreneur,1
despite conflict schedule still try teach explains lesson,1
activity given us use future purposes,1
excellent delivering lessons motivate individual lessons applicable improving us student also inspires us person,1
always prioritize needs students understand needs students specially working ones,1
effective teacher explain complex ideas simple ways,1
let us apply learnings real life situation expands knowledge comes business customer entrepreneurs also considerate,1
considerate,1
participation behavior students,1
teach clarify,1
strenghths instructor teaching course knowledge experiences life already businessman becomes strength teaching course already background thinking like entrepreneur,1
efforts teach students despite hectic schedule also considerate also explain topics well,1
kind understanding,1
uses class time effectively efficiently,1
entertaining,1
great teacher also share experiences base lesson us,1
considerations wants ensure students good conditions,1
shes good teaching,1
instructors experiences teacher different grade level helps us lot understanding course,1
handled topic way give real life situation everytime topic hard students understand clearly,1
knowledgeable course,1
sobrang bait neto mam napagaling nya magturo,1
really love ms teaching style shes accommodating students inquiries email anytime respond fast like fact always inform students activity give us time,1
ms knowledgeable enough perfect subject many experiences terms studying development kids always gave example giving pictures former students preschool easy understand lesson explained clearly,1
professional excellent job explaining lesson us without doubt effective teacher lessons always happy endings truly understand teaches us,1
smiles presents happy positive attitude us delivers content within allotted manage time efficiently,1
knows topics well explained every details giving examples help students clearly understand topic,1
explain clearly,1
enhances enjoyment learning optimistic outlook life general,1
based opinion instructor knowledgeable enough courage express ideas learning towards learners thats strength,1
enthusiasm flexibility good communication patience creativity,1
good explaining,1
ms effective instructor module base also provides information add module also shared experiences teaching children relate learn since future students children,1
maam strength teacher educ 101 knowledgeable kind person us,1
instructor explain given learning material clearly,1
lessons well explained,1
acts guide director courage give students freedom need order develop entrepreneurial skills,1
entrepreneur give us business ideas knows best us,1
explain part topic,1
sir friendly welcoming always clarifies things dont get wrong hes giving us advice us ready,1
approachable considerate flexible,1
instructor knowledgeable course,1
knowledgeable course also presents ideas clear well let students speak voice opinion thats never dull discussion also makes sure everyone listening class randomly calling names recitation,1
instructor knows lesson well delivers students easy to understand manner,1
knowledgeable field,1
instructor knows lesson well delivers students easytounderstand manner instructor also approachable considerate,1
good instructor knowledgeable area,1
kind considerate instructor gives us time finish activity gave sometimes think pass deadline extend deadline plus always available students concern,1
explain demonstrate properly lesson every online class,1
hes always conducting online class even though hes work keeps attendance kind,1
always active teaching,1
sir approachable extends deadlines realizes difficulty like passion teaching every detail subject,1
always prepared class,1
hardworking teacher consult us every week,1
teaches well,1
open student suggestions content methods projects,1
shes jolly teaching,1
nice approachable considerable,1
theres always preparation class,1
really good instructor really admire course like mother easily reach need help,1
instructor approachable conducted online classes schedule,1
discuss properly answer questionnaire,1
instructor knows lesson well delivers students easytounderstand manner,1
instructor knowledgeable course,1
instructor kind easy approach class,1
instructor good professor calming teaching,1
really good discussing course intelligent motherly like us,1
maam nice always clarifies things dont misunderstand also embraces whatever additional information submit assist us improve session,1
kind considerable,1
makes teaching number one priority,1
instructor obviously knowledgeable course presents ideas well clear,1
instructor knows lesson well deliver us easytounderstand manner,1
sets good example lose students attention lessons taught,1
theres always clarity discussion,1
act fine,1
flexible hardworking approachable,1
good aspect terms teaching though rarely meet online class,1
intelligent professor knowledgeable course give examples easily answer questions eloquently,1
explain every detailed part hes also approachable,1
instructor knowledgeable intelligent teaches well,1
studied well lesson teaching assure student something learn,1
explain every details lesson,1
maam friendly welcoming always clarifies things dont get wrong also accepts weaknesses students one,1
communication skills,1
approachable flexible,1
knowledgeable course really admire fluency good teaching grammar always give us exercise activity practice english knowledge,1
good teaching provides preactivity discussion starts students feel energized throughout class,1
uses enthusiasm improve students attitudes toward subject instructor,1
instructor knowledgeable course,1
teaches us well everything within knowledge,1
approachable flexible,1
good professor,1
communication skills,1
makes student basic understanding mythology,1
good discussing course time pay attention lesson kind understandable professor,1
entertaining really good sharing information students,1
sir easy approach always clarifies things dont misinterpret also accepts whatever detail provide help us better lesson,1
instructor knowledgeable well prepared discussion,1
studied well lesson teaching starting online class,1
enough knowledge teach mythology exact strength,1
instructor provides preactivity like asking questions discussion making fun listen discussion also good explaining connecting ideas,1
instructor knows lesson well delivers students easytounderstand manner instructor also keeps discussion light draws students attention powerpoint presentation delivery topic,1
takes time effort know students needs,1
approachable flexible,1
theres good studentteacher interaction,1
instructor knows lesson well delivers students easytounderstand manner instructor also keeps discussion light draws students attention powerpoint presentation delivery topic,1
good teacher knowledgeable,1
kind approachable shes also knowledgeable course provides activities students collaboration like group reporting,1
studies well topic starting class,1
kind sweet instructor gives us comfortable atmosphere kind professor reach easily even weekends entertain concern,1
nice approachable considerable excellent aspect terms teaching,1
maam nice easy approach always clarifies things dont misunderstand also embraces flaws student student,1
explain lesson well,1
educates students apply taught,1
considerable approachable always online class subject really excellent assessing knowledge students,1
shes good teaching gives students chance speak,1
instructor calming instructor makes students confident whenever teach us,1
instructor knowledgeable course,1
maam easy approach since always clarifies things listens ideas admire educates us future educators,1
good discussing lesson example easy understand,1
participation students,1
student approach,1
course felt comfortable class open ideas willing adapt really like type answers instead unmuting mics reasons made comfortable class modules filling like list references well wellversed course,1
unique teaching style like,1
review session recitation period different fun exciting,1
gave us opportunity answer every recitation voice soothing lessons taught well,1
enters google meet time,1
strength instructor teaching course knowledge discussing lectures ideas shares students,1
studied well lesson teaching,1
instructor knows lesson well delivers students easytounderstand manner instructor also approachable considerate,1
maam friendly welcoming always clarifies things dont get wrong also accepts weaknesses students one,1
kind,1
wants student explore hidden talents gaining new appreciation art role plays world around students relates core subjects,1
communicate us well good professor,1
instructor knowledgeable course,1
think intelligent,1
active teaching,1
good terms making discussion comprehensive easy understand,1
powerpoint presentation always awesome,1
considerate,1
understanding bubbly great income knowledge,1
knowledgeable well prepared lesson saw mastery discussion,1
approachable considerate long valid reasons,1
knowledgeable well prepared lesson saw mastery discussion,1
knows teaching gives lot readings examples considerate,1
knowledgeable subject,1
good terms making discussion comprehensive easy understand,1
instructor responsive inquiry affectionate considerate approach methods teaching effective efficient challenged us use tagalog deeply,1
high standards mastery subject considerate,1
considerate,1
approachable understandable considerate values opinions,1
mastery subject,1
knowledgeable well prepared lesson saw mastery discussion,1
knowledgeable subject,1
considerate,1
great prpf indeed lots knowledge gain,1
approachable,1
alam alam po yung ituturo maayos po magexplain solutions po discussion po try malaman nagets ba approachable si mam,1
knowledgeable well prepared lesson saw mastery discussion,1
teaching strategy,1
kind considerate,1
considerate,1
good terms making discussion comprehensive easy understand,1
kind approachable understanding,1
approachable great educator makes things easier teaches love teaching strategies,1
mastery subject,1
great prof indeed lots information gain,1
considerate,1
good manipulating course,1
knows teaching tries best make class interactive,1
approachable,1
knowledgeable well prepared lesson saw mastery discussion,1
knowledge subject,1
approachable easy contact humble teaching subject,1
good effective teacher like way teach us manage class became one inspirations pursue profession hoping teacher like,1
strengths instructor share knowledge make sure learners learn,1
always prepared discussions also knowledgeable way teaching interactive approachable considerate educator students love try answer questions discussion without hesitation,1
sobrang bait approachable,1
everything teacher teaching method strategy,1
clear teaching subject understanding approachable even outside class,1
considerate appreciate every learners effort,1
one favourite professor palaging nakangiti tuwing nag tuturo lalong lalo tuwing sumasagot kaming estudyante palagi siyang naka ngiti nakaka gana sumagot tuwing nag kaklase,1
good teacher heart,1
best understandable considerate reasonable reason kind approachable,1
confortable students nagtuturo,1
considerate confident shes teaching nice attitude towards student,1
availability class,1
kind approachable,1
knowledgeable subject,1
good teacher believe mastery subject,1
knowledgeable,1
capable teaching even tho lazy mastered parts lesson easily us understandprelim,1
friendly considerate,1
knowledgeable well prepared lesson saw mastery discussion,1
wants students understand process computation memorize,1
knowledgeable considerate,1
good terms improve students performance,1
mastered subject well,1
organized considerate mastery subject,1
knowledgeable well prepared lessons also manage time wisely,1
strategies teaching best,1
teacher provides welldone activities lesson students understand lesson,1
knowledgeable subject,1
well knowledgeable subject matter,1
full new knowledge strategies dealing math problems,1
mastery subject gives enough works,1
lots information share teach future educators,1
considerate,1
never looks module able explain deliver lessons effectively,1
taught us used reality feasibility,1
good terms disciplinary students improvement,1
strict educator strength one best way make student realize respect responsible everything limitations course,1
active teaching,1
prepared organized,1
always ready synchronous class,1
good explaining lesson considerate terms giving activity,1
student approach,1
good explaining terms like straight point subject taxing made instructions clear,1
considerate po,1
openness flexibility,1
way teaching enough knowledge subject,1
strengths instructor teaching course knowledge supporting videos certain activity arnis,1
student always listen,1
hes type instructor youll want rest college career strict comes deadline activities considerate also teach lessons clearly although arnis challenging learn person contact appreciates dedication education wants everyone succeed also dedicated teaching want everyone learn,1
freedom speech every student,1
well prepared discussion,1
giving much work somehow considerate,1
given us lectures reports us interaction online class,1
strategy facilatator learning,1
knowledgeable provide authentic information,1
making exams easy convenient students,1
great knowledge subject matter good towards students,1
interactive skills,1
di po masasabi strength sir kasi po almost asynchronous class lang po nangyari subject,0
able understand every students situation expertise teaching course,1
adds information every groups report,1
focus teaching,1
utilizes time accordingly finish lesson,1
keep class concentrated topic,1
mabait naman galit lang lagi hehehehe,1
prepared class discussion,1
stressful prof si maam although everytime lagi siyang galit good way natututunan naman papaano lang siguro age ganon attitude,0
confident,1
hardworking good guidance,1
satisfied way teaching values toward students,1
magaling po magdiscuss,1
great tone reads selections module,1
good story telling explaining stories,1
knowledgeable course,1
considerate,1
good discussion,1
considerate,1
ideas examples online class inspirational,1
lot words wisdom helpful order know want life,1
maayos po mag paliwanag,1
know well strategy teaching students feel fun learning,1
motivated meaningful lessons always prepared us effective,1
wise use technologies,1
knowledgeable course,1
sir never conduct zoom meet meetings us laging recorded live fb lessons mahirap mag cope makipag engage yung time management kelan late tsaka naglelesson live fb us either tulog nasa work internet connection time,0
considerate,1
knows exactly teaching desciminate class properly,1
siyang sites mas lalo naming matututunan topic naiintindihan,1
approachable open suggestions effective teacher,1
knowledgeable course,1
prof techy point makes lessons easier us understand,1
approachable,1
hes great explaining things especially comes solving also approachable appreciative,1
informative makes sure everyone students get topic thats discussed,1
sir excellent instructor teaches heart truly learned lot,1
organize time manageable,1
considerate,1
strengths knowledgeable considerate instructor,1
good technologies,1
utilizing technologies mode learning strategies blended learning systems,1
our adviser knows every detail topic teaching good encourage study subjects pass,1
full packed knowledge share us students,1
delivered lesson clear,1
solving problems,1
creativity openness student suggestions,1
use simulation teach,1
uses student reaction feedback improve guide actions,1
effective teacher,1
understanding intelligent,1
compassionate communicative,1
knowledgeable,1
good problem solving explaining every steps solve problem,1
tinutulungan po kaming maovercome yung number anxiety,1
eto yung prof nakikinig samin nararamdaman towards lesson mapa negative positive man yan eh pinapakinggan binibigyang solutions di hinahayaang maiwan lesson wala kaming naiintindihan,1
considerate understanding towards students,1
great explaining concepts equations,1
knows every detail topic teach,1
consideration po activities,1
understanding knowledgeable course,1
stable also shes instructor us also mother,1
accommodating considerate kind good wish would one professors next,1
shes approachable appreciative,1
knowledgeable professional adjust class kind considerate,1
maam great instructor always make sure maleleft behind lesson age strength turuan maayos though nagiging terror samin understand lang magka grades fair magturo bias talagang matutuwa way give inspiration us,1
praises successful performance motivate future learning,1
good communication knows teaching,1
considerate understanding ofcourse teaching style perfect way let students showcase skills presenting sharing views,1
communicative humble knowledgeable determined generous inspirational,1
super condiserate approachable,1
considerate,1
maam always enlighten us answering module,1
considerate intelligent always concern students life,1
maayos magturo si sir natutunan naman dont like yung pinagsasabay yung meetings ibang section mahirap samin mag open mag tanong kasi kasama kaming meet di kakilala,1
considerate,1
confident ready interactive learning,1
kind students students like participate class knowledgeable subject,1
demonstrates sincere desire teach,1
intelligent course considerate kind,1
example po siyang vid hinahanda klase,1
knows execute every activity,1
considerate super kind,1
cooperative communicative,1
mabait naman po si ser,1
always ready prepared,1
approachable,1
smart knowledgeable course,1
ppt po pag discussion,1
knows discussing,1
intelligent course,1
shes kind,1
knowledgeable course,1
demonstrates sincere desire teach,1
presence,1
voice,1
always attends class mastery course,1
makes sure lesson understandable,1
whole semester nagturo si maam wala natutunan besides laging iritable si maam whenever asks questions clarify lesson lagi nagagalit sinasabi samin di nakikinig knew nakikinig lang clarification kasi prof supposed yung guide throughout lesson kabaliktaran nangyayari also put efforts whenever comes activities projects cant still appreciate kayang irekomemda si maam magturo dont want feel felt towards pressure right ibibigay grades kasi way speaks us appropriate,0
hoping teacher edtech 2 thankful humble open,1
creativity openness students suggestion,1
knowlegeable edtech clear instruct,1
techy,1
provide us deeper understanding different online platforms use future references,1
knowledgeable ict,1
sites po mas lalo naming maintindihan topic madali po naming naiintindihan nilalagyan situational discussion,1
maayos po magturo,1
knowledgeable,1
share experiences comes utilizing different technology tools helpful since generation technology prominent,1
expert idealistic,1
used learning materials powerpoint presentation different online platforms,1
provides us topics talagang makukuha kaming aral subject sir eh talagang maayos,1
committed course,1
good giving real life examples online class,1
nagbibigay po advice naming future educ,1
communication,1
approachable,1
considerate naman po sya openning lms classmates lateb nakakapag pasa,1
love relate lessons real life give us motivation ask questions regarding topic,1
maayos po magturo,1
whole sem prof si sir matandaan nag discuss lesson alone talaga kasi puro reportings lang,1
relationship students considerate,1
considerate understanding,1
used learning materials powerpoint presentation,1
good teaching course,1
teach cinnection reallife situations teaches life lessons book lessons,1
whole course experience good explaining terms hard understand also thoughtful made effort create recorded videos wherever available synchronous class,1
student approach,1
easy interact shes accommodating approachable also shes giving much considerations extensions subject think good full time student also student working often attend classes,1
participation students behavior class,1
strengths instructor teaching course knowledge mastery subject also site used studying said course,1
lessons easy understand great teaching technique approachable always ready answer inquiries,1
really like demonstrate activities us activities use future purposes,1
maam kind approachable taught us well sap considerate kind us,1
interactive skills cheerful,1
knowledge experience subject,1
knows connect students,1
shes kind friendly,1
instructor generous teaches itapp well,1
considerate patient even ask repetitive questions always answer patience also fun listen,1
approachable kind especially sapb1 also good explaining lesson gave us guide video follow steps,1
gives example help student understand lesson,1
si sir nag lelesson samin nareport mpst time wala siyamg students engagement mag discuss okay,1
creative calm class good listener,1
explains hard terminologies topic,1
support students idea,1
intelligent course considerate students,1
magaling po discussion,1
time discuss,1
cooperative communicative,1
considerate,1
knowledgeable voice encourage listen,1
kind understanding,1
shes good explaining subject course,1
delivers explains lessons well,1
makes class discussion collaborative also easy approach,1
mabait maayos magturo malinaw natalalakay lesson,1
considerate kind 3,1
providing lessons activities help us even course program ended,1
listens well students subject engaging,1
teaching sharing personal experience,1
knows topic experienced also value real world learning,1
kind understanding,1
sir approachable reachable good teaching course,1
mahusay aspeto pagtuturo mayroong malawak pagintindi kalagayan magaaral makabuluhan masaya talakayan mahaba pasensya,1
passionate knowledgeable teaching pe,1
know every details lesson kindhearted professor also motivates students studies results good outcome,1
one kind super considerate understanding,1
instructor handson subject able make discussion fun fun way excited learn new lessons pe time informative teachings also important could apply daily routine,1
mabit approachable fun good work,1
nakakaenjoy po sya mag turo super informative po sobrang bait nya po kinoconsider nya rin po yung working students po sya namamahiya students halimbawang makasagot consistent po yung instructions binibigay nya concern po sya health every students hes always asking hoping po adviser sya next semester,1
hands teaching giving appropriate activities,1
patience,1
mastered course,1
instructor considerate encouraging students better learning outcomes,1
strict personality involves students view reality however characteristics appropriate,1
never po syang nag absent everytime meeting schedule sakanya,1
kahusayan mabait guro,1
criticizing ashamed students,1
teaching passion,1
strengths instructor teaching course helps students write efficiently professionals capstone paper,1
maam regss around great professor knowledgeable strength almost everything well rounded teaching also active whenever something urgent could say amazing fun learning,1
good consideration,1
intelligent one teacher like mother feel comfortable whenever tells something educate us giving advices especially subject,1
experience enable us easily understand lesson,1
prof reg keeps interacting students learning fun classes,1
professional relaxing listen easy approach,1
magaling magturo mahirap yung sched nya nabibigyan parin time madaling lapitan mas napapaintindi nya yung lesson,1
good teacher,1
giving lessons advance delivers clearly makes lessons easy us students understand,1
approachable explains well,1
experience professionalism,1
think strength long students wants learn gave best fulfill needs learnings students handled,1
responsible understanding students,1
able communicate students give consideration students,1
strengths instructor teaching sharing skills experience makes us educate field work without experience guidance unknowledge particular scenario specially time later might able use field work start working,1
maam reg teach us well informative,1
instructor approachable teaches positively,1
teaching depth knowledge,1
understanding,1
know subject well well explained,1
good teacher macroskills,1
teacher considerate approachable clearly knowledgeable topic,1
strong communicator patience,1
great teaching,1
super duper bait sir calmest person super courteously saming nga students nya,1
prof shows commitment patience resilient course,1
easy connect studentprof discussions web301,1
provides activities applies lessons real life lets us try concepts make sure understand,1
good,1
maam given many examples us also open quizzes activities students havent taken yet,1
give prior announcement,1
instructor kind understanding students concerns explains lessons effectively provides helpful examples establishes good communication students gives constructive relevant projects activities overall effective instructor,1
understanding gives point examples explanations,1
technique teach example uploading video every chapter lesson,1
gumagawa agad tutorial iprepresent lang class,1
maam uses variety presentation styles methods,1
understandable comes working students able take exam exact date give extended date take,1
explain topic well provide clear example,1
professor considerate students gives plenty materialsexamples video tutorials aid learning,1
loved way taught us specific explanation,1
nothing,1
prof shows resilience patience,1
tried give us learners materials tried give us recorded class missed synchronous classes prelims gave us activities make students research topic aside learning materials gave,1
gives ample time activities,1
connecting students using personal experiences stories related lesson hand,1
think strengths instructor teaching course essay paper documentation see great programming explanations database related programming field,1
unlike professors gives effort teach us,1
prof shows superior knowledge fluency course,1
little classes 2 quarter say quite comfortable sharing ideas professor classes kind person talk synchronous activities,1
comment sorry maam nakakatakot bumagsak ulit sayo kasi po kayo nakakapagturo hirap nyo po mareach tska yung inc di inaware mag ayusan grades last sem wala update makagraduate hahahahaha peace,0
teaching skills excellent provides assessments test understanding lesson also provided unique way make students cooperate class,1
deliverable speaking explanations,1
lax good way making sure students doesnt rely teacher allowing us formulate theories ideas mini research,1
great teaching,1
provided right number learning materials always shares experience research likes giving us advice shouldshouldnt research future,1
prof shows compassion commitment course strong points compassion cares mental wellbeing students commitment provides student news updates,1
sir looks like strict teacher sobrang kwela sir lang syang laging galit magsalita magturo sya talagang eexplain ayos,1
gives ample submission time caters requests students comes schedules,1
always conducts regular synchronous class even less students attending since schedule 7am provides recorded class able conduct one explained topics thoroughly showed example makes easier understand also really good writing using mouse see struggling consuming much time,1
love sir explain lesson explain clearly every one us understand bilis nya mag reply chat concern,1
comment nothing say nya po napabayan 1st sem online class thanks po,1
explain teaching lesson clearly,1
great teaching,1
straightforward teaching uses lot examples portray lesson,1
explains lesson passion knowledge,1
explained lesson step step,1
prof shows superior knowledge competence commitment course strong points provides morale boost motivation sya yung professor nag cocunduct 7 classes appreciated panis laway conducts sync async classes accordinglywalang absent provides complete module lesson provides sync class recording ps bobong bobo ramdam subtly binibigay nya yung full efforts materials matutunan yung subject,1
knowledgeable,1
professional kind optimistic communicative good instructor,1
great teaching,1
makes lesson easier understand,1
way teaching different like talking friend knowledgeable topic respect,1
clear precise way imparting lessons objectives subject,1
instructor approachable made sure students take lesson end discussion,1
discussed lesson course clearly easy understand,1
teach limited module,0
get attention students easily,1
prof shows superior knowledge commitment competence conscientious strong points superior knowledge gamay gamay nya yung subject provides external readings resources commitment dalwa lang absent buong sem competence nananawag pangalan di aantukin provides sense competence adrenaline katakot matawag ginagabayan nya utak makuha yung tamang sagot conscientious aware sya mahirap ipagsiksikan yung information utak provides gentleness submission outputs,1
knows exactly teaching best teacher far,1
