sentence,label
giving tasks without enough time answer good comes interacting students students uncomfortable,0
unconsiderate unclear instruction tone voice unclear announcement deadlines,0
attitude,0
sometimes instructions unclear mad us want clarifications sorry,0
respects students takes time effort know students needs,0
needs reminded ones statement traumatizing way interacts students healthy want interrupted class time even use inappropriate words though uses directly gets mad asked clarification even says kasi kayo nakikinig gives activities even schedule weekdays rest interrupted activities,0
attitude magulo pabago instructions laging galit namamahiya estudyante klase,0
nagtatanong kasi clear intructions nya tapos nagagalit sya exam nya typo naman salitang nasa module eksakto nalalagay nya lms kaming estudyante module nag rerely nagkakamali mababa score sayang puntos grade manlang pinag uusapan klase yung nakaraang pagkakamali nya exam mabilis mag isip lagi final desisyon estudyante ngarag,0
giving considerations,0
using lms announcements relying class representatives give announcements thats irregular students doesnt hear announcements consistency saying consideration students especially working students professionalism rushed activities hearing concerns students ever student raises concern gets mad consider almost correct answer lms whenever raised concern say bawi lang attend concern thats almost class low grades course,0
hope become approachable kind students wants clarifications,0
yung,0
audio po mahina,0
voice audio,0
audio voice comes teaching nakakaantok mahina boses mahirap magpaquiz,0
communication students,0
open camera discussing make teaching lively,0
discussion asynchronous class,0
explaining lessons detail,0
medyo lang naappreaciate yung part nag ool class po cam po sya mayber reason behind,0
po nag oopen cam,0
time management accessible learning wala siyang time magpakita samin zoom tapos every reporting lang sinasabi samin di man lang malaman improve,0
give information lesson tackled,0
logical clear integration,0
suggest sir open cam discussion,0
voice comes teaching nakakaantok masyadong interactive klase,0
areas instructor need improve need open camera discussing us,0
need prepare fun interactive activities,0
hectic schedule affects time schedule though burden since able record sessions,0
good comments thank much miss really appreciate,1
none approachable considerate things,1
areas improvement instructor extension accessible time site used studying course one day enough students activities especially laptop desktop,0
sensitive,0
nothing shes good,1
none good everything,1
students engagement,0
also make presentation class always assigned reporting class finished subject full reportings,0
communication students,0
place sometimes noise stay destructing us,0
explaination po,0
think improvement,1
pag question regarding subject outside class hour sumasagot,0
depth explanation,0
nothing improve,1
nothing improve,1
none great teacher,1
improvement,1
nothing po perfect pe subject,1
malinaw magbigay instructions nangkukumpara ibang section,0
giving instructions clear different students still wrong even though one clear given task lack organization fairness,0
needs role model students student experienced received unappropriated words belt us prof teacher one shape students behavior discourage encourage motivate students keep study hard fulfill dreams future,0
think needs improve approach students,0
must know consistent says sometimes changes happened students blame shes teacher also dont know respect others opinions though speaks po opo tone doesnt mean respected speaks considerate using lms easy face lot difficulties system errors dont consider give chance us bagsak kaniya bcoz attitude lagi syang galit nakakatakot,0
think nya po iimprove yung pagbibigay nya instructions po consistent instructions nya every time po kasi nagbibigay sya instructions tapos kinabukasan po sasabihin nya samin ganoon yung instructions binigay nya end po mababa po binibigay nyang scores pinapaulit nya po medyo mahirap naman po mag reklamo po sakanya kase po namimisunderstand nya po yung sinasabi,0
namamahiya tumatanngap ibang sagot lalo quiz enumeration naman yung nya lang sagot tama magulo magbigay instruction quiz exam nag bibibgay instruction lms manlang maapproach regarding subject nya palaging galit pag tinatanong consideration parang sya lng yung subject tinitake sobrang dami magpagawa activity health break pinaggagawa nalang mali parang wala kaming tama nawawalan tuloy gana pumasok sobrang nakakababa confidence,0
pagbibigay panuto,0
definitely need improve change pride personality professionalism way communicating students doesnt feel excited like output criticize ashamed student front class definitely need stop like acting major subject english majors rest major subject required lesson plans activities required us make abstract thesis semester criticize tell start doesnt get excited,0
think need improve deliberates step step process making capstone knowing proper way writing capstone paper,1
dont think could think something guess keep improving best,1
good,1
think way give us deadline submissions output since really nice students might think okay late submit given task outputs maam reg still give considerations,1
nothing tagal prof si maam wala po masabi napakagaling po doc,1
think improvement done instructors know good traits instructor,1
tong professor pong magaling magbigay areas improvement sobrang mapagpasensya sobrang maintidihin pinabayaan feeling di sakop area yung concern shes willing listen understand problems specially times makakausap bata particular problem ina masasabi itong professor maituturing naming virtual mom laging nakikinig laging andyan pag anak thank po pasensya po di magenglish hehe,1
giving acitivies time,1
think also students written curriculum,0
providing activities right time,1
think one improvements time check students personal messages course problem immediately solve,0
kindly minimize overloading activities,0
none far,1
needs give attention students concerns regarding subject matter give time talk students messenger especially students needs comply,0
maybe giving activity shouldnt pile work work hope give us early,0
listening students concerns,0
need attend classes,0
provide adequate amount time impart objectives subject,0
areas affect critical urgency lesson involves life lesson basic principles futureready life guidance experts,0
improvements terms presence boost morale student even clearly understand lesson improvements areas familiarity use lms,0
nothing improve po kasi professional po,1
nothing explained also asked us didnt learn immediately taught usweb maam subject really teaches us step step,1
good teaching dont know need improve,1
availability class,0
however problem lagi internet connection di sira nagloloko laptop,0
sometimes lacks presenting ways interesting involving,0
comment,1
hopefully took time answer student questions,0
lack synchronous sessions interaction students,0
would say consistent speaking english teaching us thus subjects taught also todays tech trend,0
way course presented us good enough satisfy way make presentation time meeting paste lesson jamboard discuss move next see teaching screen,0
areas affect critical urgency lesson involves life lesson basic principles futureready life guidance experts,0
prepare presentation always,0
improvements areas familiarity subject course prescence teacher reduce amount ambiguity,0
regular classes really helpful students ready synchronous class already made slides making slides class,0
recorded video lessons,0
mostly absent class late making announcements,0
need explain subject examples works,0
imbes improvement comment nalang po ilalagay sir okay naman sya nung prelim nag midterm final nakakaba ipapaquiz exam kasi wala alam ituturo maguupload lang lesson exam next week,0
online class recorded class,0
communication students regarding academic purpose,0
hard self study even research po still need rin po guide po groups know busy po kayo know naman po papaano still time reply messages kasi naseseen nyo naman po chat lalo messenger hirap lang po kasi nakailang ulit kasi nag papagawa po kayo chapter naman po natapos tsaka lang malalaman pala ganon mali,0
learn answer concerns pinag gawa research without giving us guide checking progress di nag tuturo nag babagsak lesson buong midterm di nag paramdam magpaparamdam saying busy kinabukasan wala naman po sya yung concerns wala paring sagot messenger gmail man magaling mag turo di nag tuturo,0
prescence teacher reduce amount ambiguity provide clear instructions deadlines structure formatting outputs system proposal difficult create output youre expecting certain results nag reresulta po pagka aksaya oras efforts repetition outputs unclarity jeopardized students motivation learn subject improvements terms new updates subject,0
provide sufficient amount time students order impart objectives subject giving clear instructions deadlines formats outputs,0
time management since barely class prof,0
areas affect critical urgency lesson involves life lesson basic principles futureready life guidance experts,0
time teaching student,0
could accessible since works needs validation us continue,0
advanced uploads lessons would better students subjects comply dumped one go almost end semester nervewracking,0
none hope consideration unresponsive consideration student like,0
listening students complains,0
could formal meeting us punctual regular classes giving activities work,0
areas affect critical urgency lesson involves life lesson basic principles futureready life guidance experts,0
need attend classes,0
use sync class elaboratively news updates,0
please conductattend classes,0
could make us work activities class think one really necessary comes way teaching provided learning materials stepbystep instructions asynchronous class,1
schedule thats early 7am,0
listening students concerns,0
areas affect critical urgency lesson involves life lesson basic principles futureready life guidance experts,0
wala naman sobrang fresh nga lagi sir pag nag tuturo sya laging naka polo shirt saka laging time,1
listening students complains,0
areas affect critical urgency lesson involves life lesson basic principles futureready life guidance experts,0
keep good work,1
hes complete teacher,1
teach us todays tech trend,0
thing know time consultation know always busy chances want ask something thats used ask one classmate,0
comment love prof nya po nakakalimutan although medyo preasure kasi magaling sya magturo nag seset sya expectation samin good po,1
none good,1
could consistent rules,0
think improvement part hes part professor teach us,1
assessing students providing activities related course,0
showed exemplary method teaching would even better activities class,1
none passionate dedicated teaching literature studies english language,1
maybe time consumption subject extend time,0
please post modules class time right time,0
giving activities students learn lesson,0
could considerate accepting answers online class could also conduct classes meet us often lessons difficult understand would helpful could explain us class,0
areas affect critical urgency lesson involves life lesson basic principles futureready life guidance experts,0
please learn defensive someone notice something wrong cause inconvenience side,0
calm making decisions ineffective decisions cause confusion students,0
time management maybe,0
explain lesson presentation clearly every student understand dont masyadong mataray po samin asking something sometimes po kasi dont know angry normal po e,0
need attend classes,0
comment,1
upload 2 activity one day robot please explain lesson clearly angry questions also accept answer recitation correct,0
keep good work,1
drop randomized calling students using wheel everyone handle stress getting forced answer one doesnt want answer ticipation class willing manner,0
areas affect critical urgency lesson involves life lesson basic principles futureready life guidance experts,0
teacher unresponsive students concern complain lms account,0
sana po multiple choices exam wala po sanang identification,0
time limit,0
sana po magmemeet po sana mag announce po sya ever merong announcement ty,0
time limit,0
teacher provide interactive quizzes games encourage learners interested topic,0
need improvement,1
need improvement,1
lack giving updates regarding next accomplish tasks included book especially since said next week semester end,0
must provide clearer instructions,0
teacher expound topic explain indepth knowledge topic provide interactive games encourage learners interested topic,0
provided helpful resources ideas tips course needs execute especially times situation like covid 19 education changes course learning,1
listening students concerns,0
nothing,1
internet think need stable internet makapagturo sya mas maayos overall shes good professor,1
knowledge online platforms,0
good keep,1
theres nothing improve,1
none excellent learn lot subject,1
none best maam 3,1
maybe providing us activity hopefully many,0
needs check students work time every students know need comply,0
none good teacher,1
think professor needs improve also check messages concerned subject comply requirements,0
none learn lot subject,1
hope open sya suggestions concerns students nya give consideration others,0
activities although part subject didnt teach however ask answers come willing teach us especially computational activities,0
dont make quiz assessment doesnt cover module lower expectations students still adjusting new normal,0
none learn lot subject,1
theres nothing improve,1
siguro yung technicalities nalang lms mas mapadali si sir paggamit,0
siguro yung schedule managment sir although nagsesend naman sya recorded discussions samin namimissed nya yung klase samin,0
smile sir,0
none shes really excellent job,1
since nagkaproblem schedule sana po mas maaga yung ouncement submission po nagagahol,0
bagalan magturo mahirap makahabol maingay background,0
explaining skills sana next time yung quiz connected anong diniscuss nya like theories diniscuss tapos quiz problem computation eh module ganong sample,0
instructor lacks consideration terms taking quiz examinations internet connection problem considered considered lifedeath situations instructor doesnt explain clearly students answers done hes willing explain way whereby us students still unable understand instructor always statement alam nyo yan ieexplain whereby us students really knowledgeable enough instructors way teaching reading whole module quizassessments problems hes able teach us instructors modules full theories hand quizzesassessments full computational problems even discussed us,0
instructor must practice answer question properly sarcastic way provide longer time quizzes assessment since accounting subject face face take quizzes whole class time 30 minutes especially long problems given,0
improve attitude sometimes acts unprofessionally responding students good manner improve learning style naituturo ibang level difficulty nasa lesson provided quiz exam pinatatake considerate please always consider suggestion students like one time nagtanong pwede gawing skippable yung exam refuses time allotted per quiz sana suitable types questions hind yung kelan computational saka mas maikli yung time,0
much better even already tackle lessons back lower years great help us least teach especially computations,1
medyo unprofessional lang po kase kada magtuturo sya laging maingay background di po sya nag oopen cam quizzes exams nya laging time pressure nasanay 1st year binibigyan enough time compute problems nangyayari tuloy takot maubusan time hinuhulaan lang ibang items makaabot lang time limit,0
improvement job professor,1
none passionate teaching mythology folklore,1
nothing improve,1
needs give consideration students especially students difficulties deal modalities,0
maybe time schedule class really understand prof busy,0
best,1
maybe create exciting games related teaching course,0
give engaging activities,0
teachteachteach,0
able share ideas thoughts also become productive academically,1
none think already best 100,1
thank good handling student especially working studying,1
time management flexibility knowledgeable skills,0
lang instructor,0
best,1
time class paibaiba,0
instructor needs improve skills managing using computer,0
tone voice try encourage students learn positive tone,0
use student feedback shape learning time learning strategies,0
able productive academically,1
considerate students regards passing due dates us working fields studying thank,0
time self restfighting maam,0
instructors need explain topic given activities,0
none think 3,1
deligation flexibility,0
think areas improvement instructor teaching school student enjoying studying school gives energy opportunity,0
patience avoid shouting,0
give much pressure students hope also understand dilemmas students experience like trouble internet using microphone,0
understanding situations students,0
give considerations students,0
think areas improvement instructor teaching school student enjoying studying school gives energy opportunity,0
none far,1
think areas improvement instructor teaching school student enjoying studying school gives energy opportunity,0
think areas improvement instructor teaching school enjoying studying school gives energy opportunity,0
think instructor get job teach us,1
think areas improvement instructor teaching school student enjoying studying school gives energy opportunity,0
think areas improvement instructor teaching school student enjoying studying school gives energy opportunity,0
think areas improvement instructor teaching school student enjoying studying school gives energy opportunity,0
think gives much pressure student hope talk without pressuring students dilemma like internet trouble microphone front camera hope understand situation,0
think areas improvement instructor teaching school student enjoying studying school gives energy opportunity,0
attending class,0
nothing improve,1
none kind,1
improvement part shes part professor shes approachable even weekends shes job even class hours,1
think areas improvement instructor teaching school student enjoying studying school gives energy,0
think areas improvement instructor teaching school student enjoying studying school gives energy opportunity,0
live consultation,0
time management comes schedule teaching,0
accessibility medium teaches students also time wherein discusses lesson,0
none teaching enough learn,1
lessen video project,0
way whole class discussion display,0
none great professor,1
accessibility lessons,0
excellent aspects,1
none handled lessons well,1
nothing good experience learn,1
none already great professor,1
approchable bit considerate,0
communication skills towards student,0
think needs lessen speed explanation experience cant understand lessons fast,0
teaching speed really fast hard keep class especially network problems,0
approachable considerate,0
none shes perfect po hehe,1
think needs louder voice online class,0
think point po overlapping time limit every quiz assessment instance po kasi 1 2 nilapag quizzes yong accessibility nagkakabuhol buhol,0
manage finish lesson much possible really matters someone teaching us rely understanding,0
adaptability communicate towards students,0
quizzes outside class hours,0
nothing improve,1
definitely flaws maam also wonderful compassionate teacher admire,1
improvement,1
comments good kudos maam thank much efforts appreciate,1
clarity recorded video would nice grateful explains clearly synchronous class,1
area improvement instructor detailed examples understanding different lessons course,0
none good,1
shes kind kinda intimidating terror also lessen expectations understand watched earlier different learning capacity absorb everything,0
understand students situation,0
thing instructor needs improve patience based observation always gets mad every time one us didnt answer immediately,0
considerate students think doesnt know difficulty finding good spot network attend online class always assume want slack whenever failed attend class shes angry us time specially answer questions understand shes already quite old know students learned best instructor kind honestly cant remember anything taught us feeling wrath,0
want indepth discussions reading module want pure professionalism discouragement instructor well sermons fine teacher mother students want pass subject need study pay subscriptions get online tutor find educational videos ease difficulty understanding lesson,0
adjust method teaching speak calmly,0
considerate learners specially working students,0
think instructor chill discussion since sometimes students cant answer properly questions got mad easily,0
nyang iimprove yung interaction nya student mas manda sana maganda approach,0
mabawasan po sana yung parati pong galit,0
considerate working students way express thoughts towards student sympathy everyone different situation,0
needs considerate working students consider reason students absent needs lower temper synchronous class,0
needed know every students good internet connection good cellphone use online class tell students palakasin mo signal bawal mahina signal students wont anything another things lower confidence students like ayusin mo kang patay bumasa nagpapahiya sya estudyante madaming kagaya pag galit sya always angry class make class interested proceeding discussion always recitation dont know always class always pagpapahiya galit nya di sya maintindihan know already old age still must learn give consideration students well,0
know maam age doesnt consideration po konti hard us intindihin sya kase age rin naman po lang incident one time medyo nalate kaklase attendance said sorry bumagal lang yung wifi maam aswered palakasin mo hope magkaron po sya consideration konti knowing online class po,0
doesnt give consideration students weak internet connection working students provide motivation students difficult give opinion seems wrong even answer opinion,0
please consider students work working students dreams need work support studies,0
consideration empathy hope,0
empathy understanding students circumstances due poor internet connection find difficult times instructor gives us overwhelming pressure whenever group discussion little consideration important us say upfront afraid misunderstood judged,0
considering working students always repeat lesson even already finish discuss answer recitationevery meeting recitation absent dont want hear background noise,0
magkaroon konsiderasyon working student wag ipahiya klase nalate naka attend klase,0
need nya iimprove yung pagfocus mismong topic,0
none,1
please give political examples teaching affects way students think freedom choice opionion beliefs please respect,0
nothing improve good comes teaching also understand situation hisher student,1
cant really blame instructor cant meet us teach us directly brother one guiding performance task ive bother whole year im sure,0
nothing improve good teaching gives high grades hisher student even deserve student,1
magbigay ibang gawain puro video,0
none,1
nabibigyan pagkakataon magpaliwanag side naguguluhan pagtuturo nya,0
paced teaching sometimes hard understand huge amounts information,0
learn appreciate students work show happy face teaching contagious positive energy teaching lessen mad manner,0
need nyang iimprove yung pagbibigay nya activity quiz medyo mas malinaw sana instruction deadline,0
time management good listener student suggestions lack context exam questionnaires giving second chance student worked,0
nothing improvement first meet sychronous class attitude bad always pressure hisher student ignore efforts work hisher studentand gives feedback comment hurts students think words utter,0
sana po medyo bagalan po magsalita palawakin po halimbawa tinatalakaysana po mahinahon po siyaipaliwanag po maayos magpahiya studyante naman po nagkakamali,0
one areas needs improve clarity instruction stable decision instruction sometimes didnt follow stated day rest experience instructor good course taught us bagsak quizexam move agad hahahahahaha,0
clearliness giving instructions,0
please consider answers students nice students good,0
students cant keep lesson totally lose guidance instructor,0
ayusin pagsasalita nagtuturo nagpapaliwanag aralin upang maunawaan klase,0
improve communication skills matters especially tasks require clear instructions oftentimes know execute activity vague instruction,0
