label,sentence
0,"she needs to give consideration to those students who didn't pass sometimes the activities due to some minor problems such as internet, also to those irregular students."
0,lessen the activities and i hope she can give us feedback to our work.
0,feedback and time management
0,the ares of improvement for the instructor is the time in having online class and more discussion about the activities she gave to her students.
0,focus on how the learner easily understand the topic or lesson
0,"because the instructor only held online classes a few times over the semester, there was little interaction between her and the students."
0,i think she needs to at least attend online class sometimes because we are given tasks after tasks.
0,she need to teach us more.
0,there should be more time for discussions
0,"she needs to attend the synchronous class, she attended the class once but after that we never saw her again that is why we are not familiar with her, and she is hard to reach out if you have concern."
0,the type of her exam
1,keep going of being approachable and considerate to the students
0,she gave too much activity and most of these are 3 working days only but all of our works are still for checking.
0,refrain from giving group activities if they will not be given a grade. refrain from giving more and more activities when the deadline is only for three days. please give us a complete copy of the lesson or topic that is also included in the exam because not all of us have the gadget or data connection to attend the online class.
0,"we need to memorize the contents of the lesson word by word because you need to find whether it is true or false, and analysis of statements type, that type of exam is very sensitive because a change of a word can make statement wrong. it is for the final examination and some assessments."
0,the type of exams and quizzes huhuhuhuhuhuhuhu
1,i didn't notice anything to improve about his way of teaching.
1,keep going of being compassionate to the students
1,he was actually very great in every aspect.
0,"refrain from mixing political views into some parts of the lessons. i don't mind it, but it is inconsiderate and unwise for others."
0,he has high standards.
0,she is always busy. the course is easy for her but we find it difficult to understand.
0,i think its about time management.
0,have more time please
0,"refrain from saying ""you already know it."" not all of us students have the same research type in shs or have a shs teacher that teaches like her."
0,she should teach her lessons during synchronous class instead of just giving us recorded videos.
1,i didn't see anything to be improved in her way of teaching. i find her discussion interactive.
0,consideration for students who request an extension of deadline
0,some of her classes are self-study because she is just leaving us videos to watch.
1,keep going of being patient and considerate to the students
0,have a stable wifi ma'am huhu
0,don't raise a voice if the students did not know the answer
0,the subject is hard. it is easy for her but we find it difficult to understand. she is always busy.
0,have more time please
0,"give activities, seatwork, or videos containing different examples and solutions from the discussion."
0,be more patient and approachable to the students.
0,"she still needs to help her students in proving, i guess."
0,please dont raise your voice if the students dont know the answer.
0,i think its about time management.
1,i didn't see anything to improve in her way of teaching maybe because i only meet her fewer than my classmates because i'm a working student and i sometimes failed to attend her class. but as when i'm present during her class all i see is a goodness of her way of educating us.
1,be healthy nalang po hehe kasi lots of students like us need you in the future
1,keep going as being compassionate to the students with showing care to them.
0,he need to attend his synchronous classes.
0,give more time to students
0,his passion in teaching.
0,please attend class.
0,pls attend class
0,we met only once or twice on our synchronous class.
0,"be active. mag-reply sa mga concerns ng students. i-update ang mga students kung may klase ba or wala, tuloy ang exam/ ano ang exam, and if he's okay pa po na mag-turo."
0,"we also need regular classes. i understand that circumstances came unexpectedly, but we also need to learn from the professor and their guide."
0,i think it all about time management.
0,ilessen po siguro ynng mataas na standard sa student. lagi po kse siya lagi nagsasabe ng alam niyo na yan. sobrang bilis po magturo.
0,he needs to slow down a bit in teaching the lesson.
0,give more time to students
0,do not expect that the students already know what his teaching.
0,"stop saying ""this is only a review"" ""review na lang to"" ""napagaralan niyo na to nung 2nd yr/last yr"" because we were from modular learning mode we didn't have a teacher to guide us or tell us if what we understand the topic right or wrong. our modules isn't back from us yet. please give seatwork or try this or videos containing different examples and solutions from the module. the student is not a monitor."
0,he is always busy.
1,as i see on how he deliver the lesson there are times that he is in a hury discussing the lesson beause of some important matters but all in all he is an excellent educator.
0,assume that his students didn't know or can't satisfied his expectation in his subject matter.
0,be a little bit slow while talking
0,she is always angry and impatient. she is strict and not considerate in such things like technical problems. i felt afraid on her class every time because she is not accepting any other answers.
0,always angry hehe
0,kailangan ng mahabang pasensya at maging considerate. kailangan ding malaman niya na mahalaga ang mental health dahil nagka-anxiety ako sa ginawa niya sakin :)
0,"wala pong consideration sa lahat, lagi pong galit sa klase kahit wala naman po kami ginagawa. parang lahat ng galaw namin mali para sa kanya."
0,sana sa mga susunod niyang tuturuan hindi na siya laging galit . hindi naman po kasalanan ng mga estudyante kung mahina po ang kanilang mga internet . sana iwasan na niya ang pagiging mainitin ang ulo
0,"i hope she listens to her students opinions/answers. most of the time, she wants to get the exact words of the answers."
0,please dont get mad when the students dont know the answer of your questions.
0,being considerate when it comes to the slow internet/data connections of every students that can cause for leaving the meet for a while and be back again.
0,be more patient and considerate to students
0,"what i saw as she discusses lessons, when it comes to answers on her questions, it needs to be accurate and the same on what she is thinking and expecting, though it has the same meaning. but i just think she do it for some reason, maybe being prepared for something."
0,her sympathy and approach to the students
0,he is always in a hurry when he is discussing his lesson but i understand it.
1,"no comments as well, i feel like this is how a physical education should be, simple and straight forward. thank you, sir!"
0,enhance the quality of his output/ppt.
0,the area of improvement for the instructor is the demo teaching in doing arnis.
0,their teaching
0,fastest connection outside the class
0,be active and update his students. reply to their concerns.
0,i think there is a little conflict when it comes to time management.
0,"some of the questions on his exams are on an incomplete sentences. he is not responsive on our chats or emails. based on what i have remembered, we only meet him 4-5 synchronous class for the whole semester."
0,improve more for his teaching skills
0,"attending classes regularly, i understand the absence because of the seminars and such, but we at least need to meet the professor for important queries and comprehension of the intended course subject. thank you!"
0,give more time to students.
0,more time and more attention
0,magkaroon ng passion sa trabaho dahil sayang ang pinapasahod.
0,communicate more in every students' queries.
0,attend your class and at least discuss a lesson and don't just rely yung subject matter to your students.
0,i think her attitude is need to change because she is easily irritate. maybe because of her age that's why she's moody.
0,"too much strict to the students, students is very uncomfortable with her, the students feel so uneasy and scared when they are answering her question in discussion that is why it is very hard for them to convey their ideas. she is often angry to her students."
0,"she even uses our asynchronous session to execute her teachings aside from the synchronous sessions we have. in addition, the way she socializes or interacts with the class is traumatizing. she tends to be mad at all times especially in cases when one of my classmates internet connection was interrupted. she even mocks answers that do not support her opinion."
0,"attitude, sometimes she misleads us and became the root of misunderstanding"
0,"powerpoint presentation, and controlling her emotions."
0,be knowledgeable on the course and lesson the bad mood
0,laging galit sa meet
0,being patient to students' internet connection and reduce being angry for no good reason.
0,"when it comes sa mga lesson niya, palaging paulit ulit. yung isang lesson namin, nauulit siya mga 4 times every meetings."
0,"lessen the bad mood
minimize voice"
0,her tone of voice and less consideration about internet connectivity
0,understanding toward unexpected situation (poor internet connection)
0,bawasan lang po yung pagiging strikto sa klase
0,more discussion than activity
0,i hope that you stick with your schedule.
0,take time to discuss with the section the topics with the use of zoom or a gmeet not just the other sites
0,i don't know if its areas of improvement but i want him to have a meet in our schedule not in facebook live.
0,"time management, conducting virtual meetings."
0,"considerate naman po, kaso iba padin yung may klase every time nya po."
0,"his audio po, minsan himihina hindi po namin maintindihan."
0,more solving pa po sa mga problem solution
0,tone of the voice (medyo kaantok po kasi)
1,there's nothing much.
1,"it's the voice, he's a very good professor but the monotone voice can make you feel sleepy specially during afternoon classes"
0,i think his voice audio.
0,speaking voice and time management.
1,he is so good that i can not even think of his weakness.
0,lessen his tricky question
0,lessen tricky question
0,more examples for problem solving.
0,more examples for solving problem
0,provide more sample problems
0,the pressure of every examination since it is a practical performance. .
1,no weakness at all. a teacher we always wish to have.
0,"during our meetings minsan di niya kami naririnig, siguro nasa mic niya ang problema or napipindot nita mute minsan."
0,using the technology tools
0,"try to make discussion, lessen the reporting, it is a major subject"
1,wala po
1,nothing to improve she is best
1,"wala naman po, mabait si maam, wala naman po akong napansin to improve"
0,time management. meetings arrangements
1,i think nothing needs to improve
0,schedule
0,communicate to students
0,time management po sa oras ng klase
1,i can not think of it.
0,announcement immediately if there is a class (if there is no conflict with his schedule)
0,ang bilis mag pasubmit ng video mahirap po yung pag aarnis need pa with partner. and laging overtime hindi nya na mamaximize yung time namin. we have other things to do and nacoconsume ng time nya.
0,"does not address some concerns of the students
does not provide all possible answers in lms (quiz)"
0,please be considerate most especially in giving quizzes and activities and pleasing personality as well
0,communication and consistency.
0,"she was lack in consideration, most of the time her quizes and acitivities are on the date of the supposed rest day of students. she always close her mind for opinions and correction. clarity in instruction is not always present resulting to misunderstanding. i hope she will try to listen to her students without blaming and one sided reaction."
0,"malinaw na instruction sa bawat activity, at yung way niya po ng pagresponse sa bawat concern namin hindi po maganda."
0,giving tasks without enough time to answer. not good when it comes in interacting with her students. student's is very uncomfortable with her.
0,"unconsiderate, unclear instruction, tone of voice and unclear announcement for deadlines"
0,her attitude
0,"sometimes, her instructions is unclear and she will be mad at us when we want clarifications. sorry"
0,respects students and takes the time and effort to know the students and their needs
0,"she needs to be reminded of how one's statement can be traumatizing. the way she interacts with the students is not healthy at all. she does not want to be interrupted when not her class time. she even use inappropriate words though not uses it directly. she gets mad when we asked for clarification and even says na ,"" hindi kasi kayo nakikinig"". she gives activities even if it is not her schedule. the weekdays we have only to rest was interrupted because of her activities."
0,"attitude, magulo at pabago bago ng instructions, laging galit at namamahiya ng estudyante sa klase"
0,"nagtatanong kami kasi hindi clear intructions nya tapos nagagalit sya. mga exam nya may mga typo o kaya naman ay ang mga salitang nasa module ay hindi eksakto nalalagay nya sa lms kaya kaming mga estudyante na sa module nag rerely nagkakamali kaya mababa ang score, sayang ang mga puntos at grade, hindi manlang pinag uusapan sa klase yung mga nakaraang pagkakamali nya sa exam. mabilis mag bago ng isip, hindi lagi final ang desisyon kaya mga estudyante ngarag."
0,giving considerations
0,"does not using lms for announcements because just relying on her class representatives to give her announcements that's why those irregular students doesn't hear those announcements. consistency with what she was saying. consideration to students especially to working students. professionalism. rushed activities. hearing the concerns of the students and if ever a student raises a concern she gets mad. does not consider almost correct answer in lms and whenever we raised that concern she will just say ""bawi ka na lang"" and does not attend to that concern. that's why almost all of the class have low grades with her course."
0,i hope she become more approachable and be kind to students who just wants clarifications.
0,yung sarili niya mismo.
0,audio po mahina
0,his voice audio.
0,"audio, his voice when it comes to teaching, nakakaantok, mahina ang boses, mahirap magpaquiz"
0,communication to students
0,"open camera while discussing
make teaching more lively"
0,more discussion than asynchronous class
0,explaining the lessons more in detail
0,medyo hindi ko lang naappreaciate yung part na kapag nag ool class po kami off cam din po sya mayber may reason behind that.
0,hindi po nag oopen cam
0,"time management and accessible learning. wala siyang time magpakita samin sa zoom, tapos every after reporting same lang sinasabi niya samin lahat, di man lang namin malaman kung ano dapat namin ma improve."
0,give more information about the lesson that will be tackled
0,logical and clear integration
0,i suggest to sir to open his cam during the discussion.
0,"his voice when it comes to teaching, nakakaantok, hindi masyadong interactive ang klase."
0,the areas that the instructor need to improve is he need to open his camera when he discussing to us.
0,he need to prepare some fun and interactive activities
0,"the hectic schedule he has affects our time schedule, though its not a burden at all since he is able to record sessions."
1,"they are good at what they are doing so i have no comments. thank you so much, miss! i really appreciate you."
1,"none, because she is very approachable and very considerate at all things."
0,the areas of improvement for the instructor was the extension of accessible time of the site used in studying the course because one day is not enough for the students in doing her activities especially for those who do not have laptop or desktop.
0,be sensitive
1,nothing. she's good for me at all.
1,"none, she is good at everything,"
0,students engagement.
0,he should also make his own presentation for the class. he always assigned reporting to his class. we finished his subject full of reportings.
0,communication to students
0,his place because sometimes the noise where he stay is destructing us.
0,more explaination pa po
1,i think there will be no improvement for her.
0,"pag may question regarding sa subject outside class hour, minsan hindi sumasagot"
0,depth explanation
1,nothing to improve
1,nothing to improve
1,"none, he is a great teacher."
1,there is no improvement to do.
1,"nothing po, he is very perfect for pe subject."
0,"hindi malinaw magbigay ng instructions, nangkukumpara sa ibang section"
0,"in giving instructions it is not clear that she is different and the students are still wrong even though she is the one who did not clear the given task, lack of organization and fairness"
0,"she needs to be a role model to her students, because we as a student we experienced from her to received unappropriated words which is below the belt for us. as a prof. or as a teacher, they are the one to shape the student's behavior not to discourage them. but to encourage and motivate her students to keep study hard and fulfill their dreams in the future."
0,i think she needs to improve on how to approach her students.
0,"she must know how to be consistent of what she says because sometimes it changes and when it happened, we, the students are to blame not her because shes a teacher. she also dont know how to respect others opinions. though she speaks with po and opo but her tone doesn’t mean she respected who speaks. she is not considerate, using lms is not easy, we face a lot of difficulties and system errors but she dont consider those to give chance for us. bagsak kami lahat sa kaniya bcoz of her attitude. lagi syang galit nakakatakot!"
0,"i think kailangan nya po i-improve yung pagbibigay nya ng instructions, dapat po consistent instructions nya. every time po kasi na nagbibigay sya ng instructions tapos kinabukasan po sasabihin nya samin na hindi ganoon yung instructions na binigay nya kaya in the end po is mababa po binibigay nyang scores then minsan pinapaulit nya po. medyo mahirap naman po na mag reklamo po mismo sakanya kase po nami-misunderstand nya po yung mga sinasabi namin."
0,"namamahiya , hindi tumatanngap ng ibang sagot lalo na sa mga quiz enumeration pa naman yung gusto nya lang na sagot ang tama . magulo magbigay ng instruction. sa mga quiz at exam hindi nag bibibgay ng instruction sa lms. hindi manlang ma-approach regarding sa subject nya. palaging galit pag may tinatanong sa kanya. walang consideration parang sya lng yung subject na tini-take namin sobrang dami magpagawa ng activity, kahit health break pinaggagawa kami. lahat nalang mali sa kanya parang wala kaming ginawang tama, nawawalan na tuloy ako ng gana pumasok dahil sa kanya sobrang nakakababa ng confidence."
0,pagbibigay ng panuto.
0,"she definitely need to improve and change her pride, personality, professionalism, and way of communicating with students. if she doesn't feel excited and like the output, she will criticize and ashamed the student in front of the class. and she definitely need to stop like acting a major subject to english majors, because while the rest of our major subject only required lesson plans and other activities. she required us to make an abstract thesis this semester! which we did, but she criticize it and tell start over again. because she doesn't get excited about it."
1,i think there is no need to improve because she deliberates the step by step process of making the capstone by knowing what is the proper way of writing the capstone paper.
1,"i don't think i could think of something, but i guess keep improving what she does best."
1,it's all good
1,"i think the way she give us deadline of submissions of our output, since she really nice some students might think that it is okay to late in submit all those given task and outputs because maam reg will still give considerations."
1,"nothing. sa tagal ko na prof si ma'am, wala po ako masabi. napakagaling po ni doc."
1,i think there is no more improvement to be done because out of all the instructors i know is that she had all the good traits as an instructor
1,"masyado na tong professor na to! masyado na pong magaling para magbigay pa ng areas of improvement. sobrang mapagpasensya at sobrang maintidihin. hindi niya kami pinabayaan, na kahit feeling namin di na sakop ng area niya yung concern namin she's willing to listen and understand our problems specially those times na kailangan ng makakausap ng isang bata in particular problem na kung saan kailangan ng ina. masasabi ko na itong professor na ito ay maituturing naming virtual mom. laging nakikinig at laging andyan pag kailangan ng anak. thank you po! (pasensya na po di na kaya mag-english hehe)"
1,giving acitivies on time.
0,think also the students not only what is written in the curriculum
0,providing activities right on time
0,i think that one of the improvements that she will do is to have a time to check the students personal messages about the course so the problem will be immediately solve.
0,kindly minimize the overloading of activities.
1,none so far
0,"she needs to give attention to those students that has concerns regarding on the subject matter. and give time to talk to their students through messenger, especially when the students needs to comply."
0,"maybe, in giving the activity, it shouldn't be just a pile of work because we have work to do, i hope he can give it to us early"
0,listening to students concerns.
0,need to attend more classes
0,"- provide an adequate amount of time to impart the objectives of the subject.
"
0,the areas that affect the critical and urgency of the lesson involves life lesson and basic principles of future-ready life guidance from the experts that they are.
0,"* improvements in terms of presence this will boost the morale of the student even they did not clearly understand the lesson.
* improvements in areas of familiarity with the use of lms."
1,nothing to improve po kasi professional na po
1,"nothing, because she explained and also asked us what we didn't learn and she immediately taught us.web is ma'am 's subject, she really teaches us step by step."
1,she is good in teaching i dont know what she need to improve
0,availability of class
0,"however, the problem is lagi siya walang internet connection o di kaya sira or nagloloko laptop niya."
0,she sometimes lacks in presenting in ways which are interesting and involving
1,i have no comment. :))
0,"hopefully, took time to answer student questions"
0,lack of synchronous sessions and interaction to her students
0,"i would say that he has to be consistent in speaking english while teaching us, thus not only for the subjects that he taught but also for today's tech trend."
0,the way that the course is presented to us is not good enough because i am not satisfy to the way he make the presentation on time of our meeting. he will paste the lesson to jamboard after he discuss it and move to the next so we cannot see what he is teaching to the screen.
0,the areas that affect the critical and urgency of the lesson involves life lesson and basic principles of future-ready life guidance from the experts that they are.
0,prepare a presentation always.
0,improvements in areas of familiarity of the subject course. prescence of the teacher reduce the amount of ambiguity.
0,"- having regular classes because those are really helpful for the students
- being ready for a synchronous class with some already made slides because he was making the slides during the class"
0,more recorded video lessons
0,"mostly absent in class, late in making announcements."
0,he just need to explain the subject more with some examples on how it works.
0,imbes na improvement comment nalang po ilalagay ko: as for sir okay naman sya nung prelim and then nag midterm and final nakakaba mga ipapaquiz at exam kasi wala kami alam sa ituturo. and then maguupload lang lesson kapag exam na next week.
0,online class > recorded class
0,communication with the students regarding academic purpose.
0,"its very hard to do a self study, even now that we doing a research po we still need pa rin po namin ng guide kahit po may mga groups kami. we know na busy po kayo and i know naman po na kahit papaano you still have time to reply to our messages, kasi naseseen nyo naman po mga chat namin lalo na sa messenger. ang hirap lang po kasi na nakailang ulit kami, kasi nag papagawa na po kayo ng mga chapter then kapag naman po may natapos na kami tsaka lang namin malalaman na hindi pala ganon or may mali."
0,learn to answer our concerns. pinag gawa kami ng research without giving us guide and checking out our progress . di nag tuturo pero nag babagsak ng mga lesson buong midterm di nag paramdam . magpaparamdam saying na she is busy pero kinabukasan wala na naman po sya . yung mga concerns namin sa kanya wala paring sagot through messenger or gmail man. magaling mag turo pero di nag tuturo .
0,"* prescence of the teacher reduce the amount of ambiguity.
* provide more clear instructions about deadlines, structure, formatting of outputs (system proposal).
 - it is difficult to create an output while you're expecting certain results. nag reresulta po ito sa pagka aksaya ng aming oras at efforts.
 - repetition of outputs because of unclarity will jeopardized the students motivation to learn the subject.
* improvements in terms of new and updates about the subject."
0,"- provide a sufficient amount of time for students in order to impart the objectives of the subject
- giving more clear instructions (deadlines and formats) about the outputs"
0,time management since we barely had any class with our prof.
0,the areas that affect the critical and urgency of the lesson involves life lesson and basic principles of future-ready life guidance from the experts that they are.
0,time for teaching the student
0,she could be more accessible since some of our works needs her validation for us to continue.
0,advanced uploads of the lessons would be better because students have other subjects to comply to and having all of it dumped in one go almost at the end of the semester is nerve-wracking
0,none i hope for consideration of her because she is unresponsive for consideration to all student like me.
0,listening to students complains.
